id,vader_neg,vader_neu,vader_pos,vader_compound,name,rating,verified,date,title,body,like,dislike
1,0.052,0.772,0.176,0.8164,Kevin,5,True,26/06/2024,Love,I bought this for my fiancé as a surprise because she always complained that her previous cup never held ice or kept her water cold. She loves the Stanley! It keeps her ice frozen for 12  hours and she doesn't leave home without it. We honestly didn't understand the “Stanley” rave but now here I am getting myself one too. Would definitely recommend.,0,0
2,0.0,0.684,0.316,0.5719,Jasmine,5,True,09/07/2024,Stanley 40oz in Shale,LOVEEEE THIS CUP ARRIVED SO FAST AND ITS PERFECT,0,0
3,0.109,0.801,0.09,-0.3227,HannahC,3,False,26/11/2023,Disappointed,"Work from home, so this is a pampered cup. Unfortunately I can't give it 5 stars.

The 3 stars because it's a Stanley and I love the color and size. 

Minus 1 star for the terrible smudging and water drip marks that make it look dirty even starting off in the morning... embarrassing if at a conference. 

Minus a 2nd star for the finish coming off the bottom. As you can see, it's barely (and gently) used -- the sticker is still intact. 

I loved my other Stanley and am kicking myself for giving it away and spending so much on this style. I'm not sure who tested it before production, but it seems like someone didn't think everything through. 

Very disappointing.",0,0
4,0.047,0.915,0.038,-0.1396,ValC,1,True,06/02/2024,Fake Stanley,"This is not a real Stanley. The straw is not a Stanley straw and the lid does not line up. Compared to the other Stanley's I have and it isn't close. What's worse is that I live in the Virgin Islands and cannot schedule a return or get a refund. I was ripped off. Do not buy. In pictures, fake Stanley is on the left. Real Stanley on the right.",0,0
5,0.072,0.863,0.065,-0.2206,JasonP,1,False,29/12/2023,New but Chipping Already,"I recently purchased the 40oz Soft Matte in Orchid for my wife. I have a few other Stanley products and was looking forward to this. Unfortunately, the bottom started to chip away revealing the stainless underneath. This was only after 4 uses between the house and her office. It was never dropped or abused. I contacted Stanley and they consider it ""normal wear and tear."" I would agree if it was a year old and not less than a month old and only used 4 times. It could be possible that Stanley's quality assurance has gone down, or that they don't care about quality  long lasting products anymore. We are disappointed in this Soft Matte Quencher.",0,0
6,0.085,0.894,0.022,-0.7652,ElizabethH,1,False,03/01/2024,Finish has chipped and looks greasy.,"I am really disappointed with this cup. I have several of the regular finish Stanley cups and LOVE them. This one I haven't used in MONTHS, despite loving the color and the initial texture. However, after a few uses, I noticed that the finish had a sizeable chip in it. I was upset that my new cup was already damaged, but assumed it was my fault because it was my first Stanley (I had purchased one previously as a gift.) 
Then I noticed that the finish looked greasy, even after just being washed. I tried several cleaners, from regular Dawn dish soap to the Powerwash and I can't seem to get the ""stains"" off the finish now either.
I now own several of the ""regular"" finish cups and haven't had ANY of these issues with them, so I am assuming it's...",0,0
7,0.081,0.85,0.069,0.1486,ThomasB,1,False,27/03/2024,Cup lasted about a year before self destructing,"Don't expect this cup to last more than a year. I purchased in January 2023. For what it costs I'd expect better construction and quality. I have never dropped mine. The silicon/plastic cupholders on my truck wore away the paint and the handle broke off while I was screwing it shut yesterday.  Save your money!

 It's not like I work on a job site either, I work from home and the only place this cup has really been is around the house and in the car cupholders.",0,0
8,0.164,0.769,0.067,-0.9177,JamesB,1,False,17/01/2024,Do NOT buy Matte Mug,"As a longtime fan of Stanley's quality and durability, I recently purchased a Matte Red mug with high expectations. Unfortunately, my experience has been incredibly disappointing. The outer matte coating, unlike the classic Stanley finish on my other mugs, feels more like a fragile glove glued on. To my dismay, it has started peeling badly despite hand-washing and careful handling. This level of wear and tear feels unacceptable for a Stanley product, especially compared to my other mugs that have held up flawlessly for years.

What adds to my frustration is Stanley's customer service response, attributing this issue to ""normal wear and tear."" I strongly disagree. In my opinion, this peeling isn't normal wear and tear; it's a flaw in the mat...",0,0
9,0.072,0.829,0.099,0.4149,Lanna,1,True,11/07/2024,very unique color,"the quality of the lid was not up to what other brands have so I was concerned issues would happen later but my husband has only been using his for 2wks!! the silicone piece on top that seals the sraw down in center pulled out and immediately shrank up and looks like a teething toddler got ahold of it chewed on it! I bought one same order doesn't keep ice longer 12hrs? different colors, yes! so can't be same batch or lot. NOT WORTH THE PRICE over the other cups was highly disappointed",0,0
10,0.04,0.907,0.053,0.2557,SurpriseOma,1,True,10/07/2024,Not worth $-company won't stand behind mfg defects,"I bought two of these. One for myself and one for my husband. It has helped to increase our daily water intake. And the most important reason I got it is that the mugs do fit in my cup holders in my car. However, the claims for how long it will keep things cold or frozen are ridiculous. Ice won't even stay in the cup for longer than a few hours. If you want something to stay cold longer, a Yeti brand does a better job. 

The one thing that really irked me was the lid on my cup. The lid has the threads on incorrectly so that when you screw it on, the straw ends up almost at the 9:00 position. If you aren't careful when you pickup the mug - you can put an eye out. I know some people have problems getting the lid on, but that's not what is hap...",0,0
11,0.141,0.731,0.128,-0.1432,Gunpowder,2,False,05/04/2024,Paint/Coating Chips,Cup works great but I'm a little upset that I paid as much money as I did and the coating is coming off. It looks like crap. I would not have spent that much money if I had known this would happen.,0,0
12,0.177,0.712,0.111,-0.3182,SierraB,1,False,10/04/2024,Disappointed,I have only had it a few a weeks and it's peeling I'm super sad because this is the first Stanley I've ever bought. So I'm sad it's peeling after 2 weeks…,0,0
13,0.071,0.871,0.059,-0.1513,Jenny,1,True,11/05/2024,"Cheap, broken straw included","This arrived and when I opened it to put in a gift bag for my mom, I noticed the straw was a skinny, cheap plastic straw (non-Stanley) that was bent in the middle with a hole. I had to run out and buy a box of Stanley straws for $14. Very disappointing",0,0
14,0.097,0.723,0.179,0.3818,BrandiC,1,False,03/06/2024,Not worth it,"Loved this cup but it chips like crazy. I won't buy another one again, especially for the money you spend just for it to chip right off.",0,0
15,0.0,0.692,0.308,0.9443,ewynne616,4,False,22/12/2023,LOVE THIS!! do recommend,I absolutely love my cup! But I do notice it kind of leaks when you tilt it to the side a little bit not much of a problem for me still an absolutely amazing products and i will definitely be buying again soon.,0,0
16,0.033,0.648,0.318,0.9395,GracielaG,5,False,10/12/2023,Stanley cup..?,"At first I was like no, I have starbucks cups already but after the video, I was convinced, i gave it a shot purchase it and I'm really staying hydrated for sure!!! I'm in love!! Part of the Stanley community now 🙌",0,0
17,0.0,0.615,0.385,0.9153,AmandaE,5,False,29/11/2023,Best cup ever,I love the matte blue color and that it holds ice for days. I was not expecting the rubber like texture but definitely an added bonus to prevent scratching.,0,0
